region,liczba_pomiotow_gospodarczych,rok
ŁÓDZKIE,"1424,2",2011
MAŁOPOLSKIE,"1559,6",2011
MAZOWIECKIE,"2019,2",2011
OPOLSKIE,"1470,7",2011
PODKARPACKIE,"1110,8",2011
PODLASKIE,"1199,6",2011
POMORSKIE,"1759,8",2011
ŚLĄSKIE,"1479,0",2011
ŚWIĘTOKRZYSKIE,"1305,8",2011
WARMIŃSKO-MAZURSKIE,"1236,1",2011
WIELKOPOLSKIE,"1689,4",2011
ZACHODNIOPOMORSKIE,"1903,9",2011
DOLNOŚLĄSKIE,"1785,4",2012
KUJAWSKO-POMORSKIE,"1398,8",2012
LUBELSKIE,"1216,7",2012
LUBUSKIE,"1620,9",2012
ŁÓDZKIE,"1473,9",2012
MAŁOPOLSKIE,"1615,9",2012
MAZOWIECKIE,"2097,3",2012
OPOLSKIE,"1500,7",2012
PODKARPACKIE,"1140,3",2012
PODLASKIE,"1241,0",2012
POMORSKIE,"1812,6",2012
ŚLĄSKIE,"1526,9",2012
ŚWIĘTOKRZYSKIE,"1342,1",2012
WARMIŃSKO-MAZURSKIE,"1271,8",2012
WIELKOPOLSKIE,"1748,4",2012
ZACHODNIOPOMORSKIE,"1940,7",2012
DOLNOŚLĄSKIE,"1861,3",2013
KUJAWSKO-POMORSKIE,"1434,6",2013
LUBELSKIE,"1255,2",2013
LUBUSKIE,"1670,7",2013
ŁÓDZKIE,"1516,6",2013
MAŁOPOLSKIE,"1655,7",2013
MAZOWIECKIE,"2183,8",2013
OPOLSKIE,"1538,7",2013
PODKARPACKIE,"1177,6",2013
PODLASKIE,"1270,6",2013
POMORSKIE,"1868,0",2013
ŚLĄSKIE,"1568,8",2013
ŚWIĘTOKRZYSKIE,"1377,2",2013
WARMIŃSKO-MAZURSKIE,"1306,2",2013
WIELKOPOLSKIE,"1803,2",2013
ZACHODNIOPOMORSKIE,"1982,1",2013
DOLNOŚLĄSKIE,"1901,3",2014
KUJAWSKO-POMORSKIE,"1453,0",2014
LUBELSKIE,"1280,2",2014
LUBUSKIE,"1692,2",2014
ŁÓDZKIE,"1544,8",2014
MAŁOPOLSKIE,"1686,2",2014
MAZOWIECKIE,"2245,8",2014
OPOLSKIE,"1555,7",2014
PODKARPACKIE,"1202,9",2014
PODLASKIE,"1301,5",2014
POMORSKIE,"1908,5",2014
ŚLĄSKIE,"1593,9",2014
ŚWIĘTOKRZYSKIE,"1393,7",2014
WARMIŃSKO-MAZURSKIE,"1330,1",2014
WIELKOPOLSKIE,"1844,8",2014
ZACHODNIOPOMORSKIE,"2004,3",2014
DOLNOŚLĄSKIE,"1958,3",2015
KUJAWSKO-POMORSKIE,"1477,9",2015
LUBELSKIE,"1304,1",2015
LUBUSKIE,"1731,5",2015
ŁÓDZKIE,"1577,7",2015
MAŁOPOLSKIE,"1727,8",2015
MAZOWIECKIE,"2333,5",2015
OPOLSKIE,"1580,2",2015
PODKARPACKIE,"1227,6",2015
PODLASKIE,"1323,5",2015
POMORSKIE,"1962,5",2015
ŚLĄSKIE,"1629,4",2015
ŚWIĘTOKRZYSKIE,"1416,0",2015
WARMIŃSKO-MAZURSKIE,"1350,3",2015
WIELKOPOLSKIE,"1883,8",2015
ZACHODNIOPOMORSKIE,"2043,7",2015
DOLNOŚLĄSKIE,"2006,9",2016
KUJAWSKO-POMORSKIE,"1497,9",2016
LUBELSKIE,"1324,4",2016
LUBUSKIE,"1759,5",2016
ŁÓDZKIE,"1612,3",2016
MAŁOPOLSKIE,"1769,6",2016
MAZOWIECKIE,"2418,2",2016
OPOLSKIE,"1597,5",2016
PODKARPACKIE,"1254,0",2016
PODLASKIE,"1343,0",2016
POMORSKIE,"2011,1",2016
ŚLĄSKIE,"1657,3",2016
ŚWIĘTOKRZYSKIE,"1439,5",2016
WARMIŃSKO-MAZURSKIE,"1370,3",2016
WIELKOPOLSKIE,"1921,6",2016
ZACHODNIOPOMORSKIE,"2077,1",2016
DOLNOŚLĄSKIE,"2076,6",2017
KUJAWSKO-POMORSKIE,"1526,8",2017
LUBELSKIE,"1365,3",2017
LUBUSKIE,"1800,3",2017
ŁÓDZKIE,"1654,1",2017
MAŁOPOLSKIE,"1821,8",2017
MAZOWIECKIE,"2501,4",2017
OPOLSKIE,"1622,4",2017
PODKARPACKIE,"1287,2",2017
PODLASKIE,"1373,7",2017
POMORSKIE,"2074,5",2017
ŚLĄSKIE,"1692,3",2017
ŚWIĘTOKRZYSKIE,"1474,2",2017
WARMIŃSKO-MAZURSKIE,"1398,7",2017
WIELKOPOLSKIE,"1973,0",2017
ZACHODNIOPOMORSKIE,"2125,8",2017
DOLNOŚLĄSKIE,"2140,6",2018
KUJAWSKO-POMORSKIE,"1561,0",2018
LUBELSKIE,"1409,5",2018
LUBUSKIE,"1831,2",2018
ŁÓDZKIE,"1690,3",2018
MAŁOPOLSKIE,"1886,8",2018
MAZOWIECKIE,"2538,5",2018
OPOLSKIE,"1649,7",2018
PODKARPACKIE,"1325,1",2018
PODLASKIE,"1414,5",2018
POMORSKIE,"2107,6",2018
ŚLĄSKIE,"1727,6",2018
ŚWIĘTOKRZYSKIE,"1515,1",2018
WARMIŃSKO-MAZURSKIE,"1437,5",2018
WIELKOPOLSKIE,"2025,2",2018
ZACHODNIOPOMORSKIE,"2164,5",2018
DOLNOŚLĄSKIE,"2209,2",2019
KUJAWSKO-POMORSKIE,"1626,8",2019
LUBELSKIE,"1463,3",2019
LUBUSKIE,"1920,3",2019
ŁÓDZKIE,"1763,4",2019
MAŁOPOLSKIE,"1984,0",2019
MAZOWIECKIE,"2671,5",2019
OPOLSKIE,"1712,2",2019
PODKARPACKIE,"1385,5",2019
PODLASKIE,"1468,0",2019
POMORSKIE,"2193,3",2019
ŚLĄSKIE,"1788,2",2019
ŚWIĘTOKRZYSKIE,"1577,2",2019
WARMIŃSKO-MAZURSKIE,"1513,9",2019
WIELKOPOLSKIE,"2120,3",2019
ZACHODNIOPOMORSKIE,"2237,6",2019
DOLNOŚLĄSKIE,"2283,9",2020
KUJAWSKO-POMORSKIE,"1739,2",2020
LUBELSKIE,"1594,7",2020
LUBUSKIE,"2047,8",2020
ŁÓDZKIE,"1866,0",2020
MAŁOPOLSKIE,"2059,9",2020
MAZOWIECKIE,"2715,3",2020
OPOLSKIE,"1829,6",2020
PODKARPACKIE,"1492,7",2020
PODLASKIE,"1582,8",2020
POMORSKIE,"2264,4",2020
ŚLĄSKIE,"1898,4",2020
ŚWIĘTOKRZYSKIE,"1713,1",2020
WARMIŃSKO-MAZURSKIE,"1641,1",2020
WIELKOPOLSKIE,"2200,9",2020
ZACHODNIOPOMORSKIE,"2377,8",2020
DOLNOŚLĄSKIE,"2397,2",2021
KUJAWSKO-POMORSKIE,"1812,6",2021
LUBELSKIE,"1674,2",2021
LUBUSKIE,"2147,0",2021
ŁÓDZKIE,"1953,5",2021
MAŁOPOLSKIE,"2163,7",2021
MAZOWIECKIE,"2853,6",2021
OPOLSKIE,"1904,3",2021
PODKARPACKIE,"1573,6",2021
PODLASKIE,"1659,4",2021
POMORSKIE,"2373,5",2021
ŚLĄSKIE,"1988,3",2021
ŚWIĘTOKRZYSKIE,"1799,3",2021
WARMIŃSKO-MAZURSKIE,"1719,3",2021
WIELKOPOLSKIE,"2296,9",2021
ZACHODNIOPOMORSKIE,"2471,8",2021
DOLNOŚLĄSKIE,"2516,6",2022
KUJAWSKO-POMORSKIE,"1867,2",2022
LUBELSKIE,"1751,9",2022
LUBUSKIE,"2220,9",2022
ŁÓDZKIE,"2035,0",2022
MAŁOPOLSKIE,"2263,4",2022
MAZOWIECKIE,"2993,8",2022
OPOLSKIE,"1973,1",2022
PODKARPACKIE,"1641,8",2022
PODLASKIE,"1735,7",2022
POMORSKIE,"2476,2",2022
ŚLĄSKIE,"2063,1",2022
ŚWIĘTOKRZYSKIE,"1869,9",2022
WARMIŃSKO-MAZURSKIE,"1781,2",2022
WIELKOPOLSKIE,"2381,1",2022
ZACHODNIOPOMORSKIE,"2557,3",2022
DOLNOŚLĄSKIE,"2621,6",2023
KUJAWSKO-POMORSKIE,"1929,6",2023
LUBELSKIE,"1820,0",2023
LUBUSKIE,"2302,0",2023
ŁÓDZKIE,"2106,1",2023
MAŁOPOLSKIE,"2361,3",2023
MAZOWIECKIE,"3134,0",2023
OPOLSKIE,"2037,6",2023
PODKARPACKIE,"1705,2",2023
PODLASKIE,"1814,0",2023
POMORSKIE,"2577,4",2023
ŚLĄSKIE,"2133,4",2023
ŚWIĘTOKRZYSKIE,"1931,6",2023
WARMIŃSKO-MAZURSKIE,"1845,2",2023
WIELKOPOLSKIE,"2459,2",2023
ZACHODNIOPOMORSKIE,"2638,8",2023
DOLNOŚLĄSKIE,"2723,6",2024
KUJAWSKO-POMORSKIE,"1995,2",2024
LUBELSKIE,"1882,9",2024
LUBUSKIE,"2388,2",2024
ŁÓDZKIE,"2176,0",2024
MAŁOPOLSKIE,"2458,9",2024
MAZOWIECKIE,"3264,2",2024
OPOLSKIE,"2101,9",2024
PODKARPACKIE,"1761,8",2024
PODLASKIE,"1880,5",2024
POMORSKIE,"2668,4",2024
ŚLĄSKIE,"2205,0",2024
ŚWIĘTOKRZYSKIE,"2002,1",2024
WARMIŃSKO-MAZURSKIE,"1903,3",2024
WIELKOPOLSKIE,"2541,6",2024
ZACHODNIOPOMORSKIE,"2714,5",2024
