region,rok,bezrobotni_w_liczbie_ludności_w_wieku_produkcyjnym,ogółem
PODKARPACKIE,2006,,76679.0
PODKARPACKIE,2007,,62389.0
PODKARPACKIE,2008,,46059.0
PODKARPACKIE,2009,,47692.0
PODKARPACKIE,2010,,53194.0
PODKARPACKIE,2011,,60886.0
PODKARPACKIE,2012,,64089.0
PODKARPACKIE,2013,,66071.0
PODKARPACKIE,2014,4.6,61900.0
PODKARPACKIE,2015,4.1,54756.0
PODKARPACKIE,2016,3.6,48622.0
PODKARPACKIE,2017,3.2,41977.0
PODKARPACKIE,2018,2.9,37663.0
PODKARPACKIE,2019,2.6,33463.0
PODKARPACKIE,2020,3.2,40554.0
PODKARPACKIE,2021,3.3,40662.0
PODKARPACKIE,2022,2.7,33008.0
PODKARPACKIE,2023,2.5,30235.0
PODKARPACKIE,2024,2.5,30156.0
PODKARPACKIE,2025,,32606.0
PODLASKIE,2006,,28675.0
PODLASKIE,2007,,21240.0
PODLASKIE,2008,,14923.0
PODLASKIE,2009,,17011.0
PODLASKIE,2010,,21702.0
PODLASKIE,2011,,25783.0
PODLASKIE,2012,,28144.0
PODLASKIE,2013,,30222.0
PODLASKIE,2014,3.7,28024.0
PODLASKIE,2015,3.3,24449.0
PODLASKIE,2016,3.0,22253.0
PODLASKIE,2017,2.5,18161.0
PODLASKIE,2018,2.2,15937.0
PODLASKIE,2019,2.0,14327.0
PODLASKIE,2020,2.4,16934.0
PODLASKIE,2021,2.5,17369.0
PODLASKIE,2022,2.1,14023.0
PODLASKIE,2023,2.0,13480.0
PODLASKIE,2024,2.1,13616.0
PODLASKIE,2025,,14543.0
POLSKA,2006,,1139446.0
POLSKA,2007,,787243.0
POLSKA,2008,,501339.0
POLSKA,2009,,488898.0
POLSKA,2010,,568687.0
POLSKA,2011,,685237.0
POLSKA,2012,,757239.0
POLSKA,2013,,827080.0
POLSKA,2014,3.1,760056.0
POLSKA,2015,2.6,620855.0
POLSKA,2016,2.3,542843.0
POLSKA,2017,1.9,438404.0
POLSKA,2018,1.6,383301.0
POLSKA,2019,1.4,328880.0
POLSKA,2020,1.8,415520.0
POLSKA,2021,1.9,427531.0
POLSKA,2022,1.5,328664.0
POLSKA,2023,1.4,299738.0
POLSKA,2024,1.4,298052.0
POLSKA,2025,,334365.0
POMORSKIE,2006,,60873.0
POMORSKIE,2007,,37514.0
POMORSKIE,2008,,19052.0
POMORSKIE,2009,,18543.0
POMORSKIE,2010,,25145.0
POMORSKIE,2011,,31452.0
POMORSKIE,2012,,35774.0
POMORSKIE,2013,,39747.0
POMORSKIE,2014,2.6,37583.0
POMORSKIE,2015,1.9,27795.0
POMORSKIE,2016,1.6,22852.0
POMORSKIE,2017,1.1,16177.0
POMORSKIE,2018,1.0,14577.0
POMORSKIE,2019,1.0,13472.0
POMORSKIE,2020,1.4,19132.0
POMORSKIE,2021,1.6,21738.0
POMORSKIE,2022,1.1,14965.0
POMORSKIE,2023,1.1,14598.0
POMORSKIE,2024,1.1,14596.0
POMORSKIE,2025,,16416.0
WARMIŃSKO-MAZURSKIE,2006,,60111.0
WARMIŃSKO-MAZURSKIE,2007,,42260.0
WARMIŃSKO-MAZURSKIE,2008,,27573.0
WARMIŃSKO-MAZURSKIE,2009,,28543.0
WARMIŃSKO-MAZURSKIE,2010,,29726.0
WARMIŃSKO-MAZURSKIE,2011,,35099.0
WARMIŃSKO-MAZURSKIE,2012,,38981.0
WARMIŃSKO-MAZURSKIE,2013,,41618.0
WARMIŃSKO-MAZURSKIE,2014,4.2,38802.0
WARMIŃSKO-MAZURSKIE,2015,3.4,31597.0
WARMIŃSKO-MAZURSKIE,2016,3.1,28422.0
WARMIŃSKO-MAZURSKIE,2017,2.7,23837.0
WARMIŃSKO-MAZURSKIE,2018,2.2,19795.0
WARMIŃSKO-MAZURSKIE,2019,1.8,15611.0
WARMIŃSKO-MAZURSKIE,2020,2.3,19158.0
WARMIŃSKO-MAZURSKIE,2021,2.1,17095.0
WARMIŃSKO-MAZURSKIE,2022,1.8,14210.0
WARMIŃSKO-MAZURSKIE,2023,1.7,13497.0
WARMIŃSKO-MAZURSKIE,2024,1.7,13481.0
WARMIŃSKO-MAZURSKIE,2025,,15512.0
WIELKOPOLSKIE,2006,,79347.0
WIELKOPOLSKIE,2007,,46799.0
WIELKOPOLSKIE,2008,,24579.0
WIELKOPOLSKIE,2009,,26319.0
WIELKOPOLSKIE,2010,,32622.0
WIELKOPOLSKIE,2011,,39323.0
WIELKOPOLSKIE,2012,,42836.0
WIELKOPOLSKIE,2013,,47683.0
WIELKOPOLSKIE,2014,2.0,43052.0
WIELKOPOLSKIE,2015,1.5,31722.0
WIELKOPOLSKIE,2016,1.3,27187.0
WIELKOPOLSKIE,2017,1.0,20374.0
WIELKOPOLSKIE,2018,0.7,15733.0
WIELKOPOLSKIE,2019,0.6,12739.0
WIELKOPOLSKIE,2020,0.9,19084.0
WIELKOPOLSKIE,2021,0.9,19026.0
WIELKOPOLSKIE,2022,0.7,13598.0
WIELKOPOLSKIE,2023,0.7,13777.0
WIELKOPOLSKIE,2024,0.7,13879.0
WIELKOPOLSKIE,2025,,16881.0
ZACHODNIOPOMORSKIE,2006,,63698.0
ZACHODNIOPOMORSKIE,2007,,42018.0
ZACHODNIOPOMORSKIE,2008,,25227.0
ZACHODNIOPOMORSKIE,2009,,23307.0
ZACHODNIOPOMORSKIE,2010,,28965.0
ZACHODNIOPOMORSKIE,2011,,36107.0
ZACHODNIOPOMORSKIE,2012,,37951.0
ZACHODNIOPOMORSKIE,2013,,39166.0
ZACHODNIOPOMORSKIE,2014,3.2,35023.0
ZACHODNIOPOMORSKIE,2015,2.7,29302.0
ZACHODNIOPOMORSKIE,2016,2.3,24039.0
ZACHODNIOPOMORSKIE,2017,1.9,20023.0
ZACHODNIOPOMORSKIE,2018,1.7,17280.0
ZACHODNIOPOMORSKIE,2019,1.5,14948.0
ZACHODNIOPOMORSKIE,2020,2.0,19509.0
ZACHODNIOPOMORSKIE,2021,2.1,20684.0
ZACHODNIOPOMORSKIE,2022,1.7,16597.0
ZACHODNIOPOMORSKIE,2023,1.6,14891.0
ZACHODNIOPOMORSKIE,2024,1.6,14824.0
ZACHODNIOPOMORSKIE,2025,,16710.0
ŁÓDZKIE,2006,,81524.0
ŁÓDZKIE,2007,,56148.0
ŁÓDZKIE,2008,,33014.0
ŁÓDZKIE,2009,,31704.0
ŁÓDZKIE,2010,,39044.0
ŁÓDZKIE,2011,,48643.0
ŁÓDZKIE,2012,,55954.0
ŁÓDZKIE,2013,,62235.0
ŁÓDZKIE,2014,3.6,55972.0
ŁÓDZKIE,2015,3.0,46019.0
ŁÓDZKIE,2016,2.6,39267.0
ŁÓDZKIE,2017,2.0,30410.0
ŁÓDZKIE,2018,1.8,26976.0
ŁÓDZKIE,2019,1.6,23690.0
ŁÓDZKIE,2020,2.0,28712.0
ŁÓDZKIE,2021,2.2,30933.0
ŁÓDZKIE,2022,1.7,23414.0
ŁÓDZKIE,2023,1.5,20850.0
ŁÓDZKIE,2024,1.6,21280.0
ŁÓDZKIE,2025,,24755.0
ŚLĄSKIE,2006,,111865.0
ŚLĄSKIE,2007,,73463.0
ŚLĄSKIE,2008,,36766.0
ŚLĄSKIE,2009,,33748.0
ŚLĄSKIE,2010,,42730.0
ŚLĄSKIE,2011,,55515.0
ŚLĄSKIE,2012,,64409.0
ŚLĄSKIE,2013,,73352.0
ŚLĄSKIE,2014,2.4,68734.0
ŚLĄSKIE,2015,2.0,55825.0
ŚLĄSKIE,2016,1.6,45527.0
ŚLĄSKIE,2017,1.3,34956.0
ŚLĄSKIE,2018,1.1,29220.0
ŚLĄSKIE,2019,0.8,21185.0
ŚLĄSKIE,2020,1.1,29236.0
ŚLĄSKIE,2021,1.3,33402.0
ŚLĄSKIE,2022,0.9,22642.0
ŚLĄSKIE,2023,0.8,19475.0
ŚLĄSKIE,2024,0.8,18856.0
ŚLĄSKIE,2025,,22716.0
ŚWIĘTOKRZYSKIE,2006,,52565.0
ŚWIĘTOKRZYSKIE,2007,,41381.0
