region,rok,saldo_migracji_ogółem,wymeldowania_do_miast_ogółem,wymeldowania_na_wieś_ogółem,wymeldowania_ogółem_kobiety,wymeldowania_ogółem_mężczyźni,wymeldowania_ogółem_ogółem,zameldowania_ogółem_kobiety,zameldowania_ogółem_mężczyźni,zameldowania_ogółem_ogółem,zameldowania_z_miast_ogółem,zameldowania_ze_wsi_ogółem
KUJAWSKO-POMORSKIE,2013,-1619.0,9656.0,8320.0,9382.0,8594.0,17976.0,8540.0,7817.0,16357.0,10169.0,6188.0
KUJAWSKO-POMORSKIE,2014,-1738.0,9240.0,7911.0,9109.0,8042.0,17151.0,8183.0,7230.0,15413.0,9372.0,6041.0
KUJAWSKO-POMORSKIE,2015,-1749.0,8893.0,7469.0,8720.0,7642.0,16362.0,7816.0,6797.0,14613.0,8921.0,5692.0
KUJAWSKO-POMORSKIE,2016,-1719.0,8524.0,7455.0,8529.0,7450.0,15979.0,7635.0,6625.0,14260.0,8621.0,5639.0
KUJAWSKO-POMORSKIE,2017,-1515.0,8635.0,7858.0,8829.0,7664.0,16493.0,7980.0,6998.0,14978.0,9093.0,5885.0
KUJAWSKO-POMORSKIE,2018,-2541.0,10244.0,9052.0,10269.0,9027.0,19296.0,8889.0,7866.0,16755.0,10216.0,6539.0
KUJAWSKO-POMORSKIE,2019,-2921.0,10818.0,9528.0,10792.0,9554.0,20346.0,9230.0,8195.0,17425.0,10563.0,6862.0
KUJAWSKO-POMORSKIE,2020,-2112.0,8183.0,8472.0,8833.0,7822.0,16655.0,7694.0,6849.0,14543.0,9163.0,5380.0
KUJAWSKO-POMORSKIE,2021,-2204.0,8549.0,9681.0,9474.0,8756.0,18230.0,8376.0,7650.0,16026.0,10097.0,5929.0
KUJAWSKO-POMORSKIE,2022,-1746.0,7877.0,9405.0,9053.0,8229.0,17282.0,8204.0,7332.0,15536.0,9575.0,5961.0
KUJAWSKO-POMORSKIE,2023,-2116.0,8456.0,8961.0,9246.0,8171.0,17417.0,8097.0,7204.0,15301.0,9533.0,5768.0
KUJAWSKO-POMORSKIE,2024,-1989.0,9262.0,8940.0,9486.0,8716.0,18202.0,8455.0,7758.0,16213.0,9685.0,6528.0
KUJAWSKO-POMORSKIE,2025,,,,,,,,,,,
LUBELSKIE,1999,-3034.0,,,11394.0,9956.0,21350.0,9664.0,8652.0,18316.0,,
LUBELSKIE,2000,-2969.0,11398.0,7466.0,10107.0,8757.0,18864.0,8430.0,7465.0,15895.0,8270.0,7625.0
LUBELSKIE,2001,-3643.0,11043.0,6771.0,9431.0,8383.0,17814.0,7347.0,6824.0,14171.0,7725.0,6446.0
LUBELSKIE,2002,-3840.0,11975.0,7424.0,10258.0,9141.0,19399.0,8107.0,7452.0,15559.0,8937.0,6622.0
LUBELSKIE,2003,-4576.0,12907.0,8040.0,11192.0,9755.0,20947.0,8560.0,7811.0,16371.0,9432.0,6939.0
LUBELSKIE,2004,-4551.0,12182.0,8543.0,11208.0,9517.0,20725.0,8498.0,7676.0,16174.0,9646.0,6528.0
LUBELSKIE,2005,-4905.0,12260.0,8363.0,11275.0,9348.0,20623.0,8399.0,7319.0,15718.0,9169.0,6549.0
LUBELSKIE,2006,-5160.0,13028.0,8676.0,11684.0,10020.0,21704.0,8743.0,7801.0,16544.0,9776.0,6768.0
LUBELSKIE,2007,-5143.0,13244.0,10215.0,12849.0,10610.0,23459.0,9842.0,8474.0,18316.0,10329.0,7987.0
LUBELSKIE,2008,-4118.0,10321.0,7313.0,9774.0,7860.0,17634.0,7410.0,6106.0,13516.0,7679.0,5837.0
LUBELSKIE,2009,-4237.0,10302.0,7389.0,10022.0,7669.0,17691.0,7529.0,5925.0,13454.0,7493.0,5961.0
LUBELSKIE,2010,-4867.0,10970.0,7768.0,10493.0,8245.0,18738.0,7610.0,6261.0,13871.0,8059.0,5812.0
LUBELSKIE,2011,-4960.0,11165.0,7420.0,10321.0,8264.0,18585.0,7487.0,6138.0,13625.0,7829.0,5796.0
LUBELSKIE,2012,-5018.0,10752.0,7245.0,9966.0,8031.0,17997.0,7091.0,5888.0,12979.0,7351.0,5628.0
LUBELSKIE,2013,-4954.0,11177.0,7420.0,10166.0,8431.0,18597.0,7373.0,6270.0,13643.0,7838.0,5805.0
LUBELSKIE,2014,-5125.0,11096.0,7464.0,10106.0,8454.0,18560.0,7289.0,6146.0,13435.0,7488.0,5947.0
LUBELSKIE,2015,-4814.0,10497.0,7045.0,9494.0,8048.0,17542.0,6880.0,5848.0,12728.0,7097.0,5631.0
LUBELSKIE,2016,-4452.0,10056.0,7037.0,9157.0,7936.0,17093.0,6686.0,5955.0,12641.0,7004.0,5637.0
LUBELSKIE,2017,-5072.0,10984.0,7137.0,9722.0,8399.0,18121.0,6921.0,6128.0,13049.0,7270.0,5779.0
LUBELSKIE,2018,-5804.0,12447.0,8138.0,11074.0,9511.0,20585.0,7854.0,6927.0,14781.0,8290.0,6491.0
LUBELSKIE,2019,-6495.0,13442.0,8522.0,11725.0,10239.0,21964.0,8122.0,7347.0,15469.0,8611.0,6858.0
LUBELSKIE,2020,-4685.0,9998.0,7252.0,9233.0,8017.0,17250.0,6711.0,5854.0,12565.0,7172.0,5393.0
LUBELSKIE,2021,-5021.0,10976.0,8577.0,10498.0,9055.0,19553.0,7681.0,6851.0,14532.0,8246.0,6286.0
LUBELSKIE,2022,-4686.0,9789.0,8267.0,9634.0,8422.0,18056.0,7087.0,6283.0,13370.0,7656.0,5714.0
LUBELSKIE,2023,-4707.0,10500.0,7938.0,9716.0,8722.0,18438.0,7149.0,6582.0,13731.0,7817.0,5914.0
LUBELSKIE,2024,-5194.0,11297.0,8722.0,10507.0,9512.0,20019.0,7765.0,7060.0,14825.0,8183.0,6642.0
LUBELSKIE,2025,,,,,,,,,,,
LUBUSKIE,1999,-259.0,,,4650.0,4314.0,8964.0,4517.0,4188.0,8705.0,,
LUBUSKIE,2000,-440.0,5072.0,3162.0,4343.0,3891.0,8234.0,3980.0,3814.0,7794.0,4839.0,2955.0
LUBUSKIE,2001,-812.0,5296.0,2923.0,4268.0,3951.0,8219.0,3835.0,3572.0,7407.0,4824.0,2583.0
LUBUSKIE,2002,-795.0,5324.0,2877.0,4293.0,3908.0,8201.0,3858.0,3548.0,7406.0,4874.0,2532.0
LUBUSKIE,2003,-435.0,5632.0,3374.0,4721.0,4285.0,9006.0,4479.0,4092.0,8571.0,5765.0,2806.0
LUBUSKIE,2004,-370.0,5233.0,3779.0,4743.0,4269.0,9012.0,4475.0,4167.0,8642.0,5873.0,2769.0
LUBUSKIE,2005,-435.0,5498.0,3595.0,4839.0,4254.0,9093.0,4516.0,4142.0,8658.0,5760.0,2898.0
LUBUSKIE,2006,-527.0,6173.0,3999.0,5352.0,4820.0,10172.0,4970.0,4675.0,9645.0,6387.0,3258.0
LUBUSKIE,2007,-479.0,6164.0,4519.0,5683.0,5000.0,10683.0,5317.0,4887.0,10204.0,6621.0,3583.0
LUBUSKIE,2008,-219.0,5022.0,3748.0,4812.0,3958.0,8770.0,4590.0,3961.0,8551.0,5651.0,2900.0
