region,rok,"gimnazjalne,_podstawowe_i_niższe_ogółem_wartość_liczbowa","gimnazjalne,_podstawowe_i_niższe_ogółem_wskaźnik_precyzji",policealne_oraz_średnie_zawodowe/branżowe_ogółem_wartość_liczbowa,policealne_oraz_średnie_zawodowe/branżowe_ogółem_wskaźnik_precyzji,wyższe_ogółem_wartość_liczbowa,wyższe_ogółem_wskaźnik_precyzji,zasadnicze_zawodowe/branżowe_ogółem_wartość_liczbowa,zasadnicze_zawodowe/branżowe_ogółem_wskaźnik_precyzji,średnie_(łącznie_z_zasadniczym_zawodowym/branżowym_i_policealnym)_ogółem_wartość_liczbowa,średnie_(łącznie_ze_średnim_zawodowym/branżowym_i_ogólnokształcącym)_ogółem_wartość_liczbowa,średnie_ogólnokształcące_ogółem_wartość_liczbowa,średnie_ogólnokształcące_ogółem_wskaźnik_precyzji,średnie_zawodowe/branżowe_ogółem_wartość_liczbowa,średnie_zawodowe/branżowe_ogółem_wskaźnik_precyzji
POMORSKIE,2016,15.1,2.81,21.2,2.63,26.3,2.88,25.3,2.47,58.5,30.1,12,3.44,18.1,2.92
POMORSKIE,2017,14.4,3.11,20.2,2.74,28.5,2.67,24.5,2.68,57.1,29.7,12.4,3.78,17.3,3.09
POMORSKIE,2018,14.6,3.01,20.6,2.87,28.7,3.02,24,2.93,56.9,30.2,12.3,4.02,17.9,3.26
POMORSKIE,2019,12.8,3.35,22.1,3.07,30.1,3.1,22.8,3.41,57.1,31.5,12.2,4.33,19.3,3.48
POMORSKIE,2020,12.7,4.2,23.7,3.3,30.6,3.6,21.6,4.2,56.7,32.3,11.4,5.6,20.9,3.8
POMORSKIE,2021,13,5.65,22.6,3.59,30.4,3.28,22.2,4.15,56.5,31.8,11.7,5.36,20.1,4.04
POMORSKIE,2022,12.9,6.25,20.4,4.13,33.3,3.14,20.7,4.78,53.8,30.6,12.7,5.16,17.9,4.74
POMORSKIE,2023,12.2,5.5,18.8,4.48,36.9,3.09,18.6,5.35,50.9,29.7,13.5,5.69,16.2,4.83
POMORSKIE,2024,11.9,4.86,17.8,4.05,37,2.72,19,3.8,51.1,29.6,14.3,4.53,15.3,4.34
POMORSKIE,2025,-,-,-,-,-,-,-,-,-,-,-,-,-,-
WARMIŃSKO-MAZURSKIE,2010,24.6,1.87,21.8,1.65,17,2.82,27,1.66,58.5,29.2,9.7,2.73,19.5,1.86
WARMIŃSKO-MAZURSKIE,2011,24.7,2.91,22.4,2.91,16.9,4.36,26.2,2.53,58.6,29.8,10,4.08,19.8,3.03
WARMIŃSKO-MAZURSKIE,2012,24,2.89,23,2.37,16.3,4.21,25.5,2.19,59.8,31.7,11.3,3.65,20.4,2.45
WARMIŃSKO-MAZURSKIE,2013,23.3,2.54,22.4,2.49,17.9,3.71,25.2,2.24,58.8,31.1,11.2,3.68,19.9,2.61
WARMIŃSKO-MAZURSKIE,2014,22.7,2.72,22,2.36,19.1,3.74,25.4,2.39,58.3,30.3,10.9,4,19.4,2.56
WARMIŃSKO-MAZURSKIE,2015,22.1,2.97,22.8,2.48,19.7,3.42,25,2.26,58.3,30.5,10.5,4.08,20,2.69
WARMIŃSKO-MAZURSKIE,2016,21.9,3.4,22.1,2.8,20.1,3.59,25.5,2.91,58,29.7,10.4,4.85,19.3,3.07
WARMIŃSKO-MAZURSKIE,2017,20.6,3.57,22.5,3.14,20.3,3.91,26.2,3.22,59.1,30,10.4,5.27,19.6,3.23
WARMIŃSKO-MAZURSKIE,2018,19.8,3.31,23,2.88,20.4,3.82,26.8,2.96,60,30.9,10.2,5.05,20.7,3.13
WARMIŃSKO-MAZURSKIE,2019,20.1,3.77,23.5,3.32,21.1,4.27,25.6,3.66,58.9,30.9,9.8,5.53,21.1,3.45
WARMIŃSKO-MAZURSKIE,2020,19.6,4.8,23.8,4.5,20.9,4.7,24.9,4.3,59.5,31.9,10.8,6.1,21.1,4.7
WARMIŃSKO-MAZURSKIE,2021,20.3,4.27,22.8,3.74,21.8,3.87,24,3.85,57.9,31.3,11.1,5.7,20.2,3.9
WARMIŃSKO-MAZURSKIE,2022,18.8,4.33,23,4.17,24.3,3.42,22.9,4.43,56.9,31.5,11,6.1,20.5,4.52
WARMIŃSKO-MAZURSKIE,2023,17.5,4.81,21.7,4.27,26.7,4,21.1,4.64,55.9,32.4,13.1,5.61,19.3,4.4
WARMIŃSKO-MAZURSKIE,2024,16.9,4.7,22.1,3.68,26.5,3.58,21.5,4.34,56.5,32.5,12.9,5.26,19.6,4.08
WARMIŃSKO-MAZURSKIE,2025,-,-,-,-,-,-,-,-,-,-,-,-,-,-
WIELKOPOLSKIE,2010,17.8,1.86,23.4,1.42,17.6,2.13,31.6,1.34,64.6,30,9.6,2.55,20.4,1.63
WIELKOPOLSKIE,2011,16.3,2.88,24.2,2.17,18.9,3.24,30.4,2.22,64.8,31.2,10.2,3.53,21,2.36
WIELKOPOLSKIE,2012,15.5,2.81,24.4,1.97,19.8,2.86,30.1,1.82,64.7,31.8,10.2,3.1,21.6,2.02
WIELKOPOLSKIE,2013,15,2.83,24.6,2.11,20.8,2.63,29.8,1.83,64.1,31.7,9.7,3.42,22,2.27
WIELKOPOLSKIE,2014,14.5,3.08,25,2.15,22,3.05,29,1.95,63.5,32,9.5,3.65,22.5,2.28
WIELKOPOLSKIE,2015,13.9,3.37,24.8,2.39,22.9,2.93,29.1,2.25,63.1,31.6,9.2,4.35,22.4,2.49
WIELKOPOLSKIE,2016,14.2,3.38,24.7,2.5,22.6,3.07,29.9,2.43,63.2,31.1,8.6,4.93,22.5,2.78
WIELKOPOLSKIE,2017,13.1,3.24,24.6,2.65,22.4,3.09,30.8,2.75,64.4,31.3,9,4.71,22.3,2.97
WIELKOPOLSKIE,2018,13,4.1,24.5,3.08,23.6,3.61,30.6,3.12,63.6,30.5,8.5,5.13,22,3.08
WIELKOPOLSKIE,2019,12.8,3.83,24.8,2.86,25.3,3.72,28.2,3.03,61.9,31.6,8.9,5.51,22.7,3.06
WIELKOPOLSKIE,2020,12.3,3.5,25.6,3,25.7,3.8,26.6,3.6,62.1,33.2,9.9,5.5,23.3,3.3
WIELKOPOLSKIE,2021,10.9,5.19,26.2,3.39,24.4,3.8,27.5,3.81,64.7,34.7,11,5.82,23.7,3.65
WIELKOPOLSKIE,2022,11.7,5.13,24.9,3.83,25.2,4.01,27.7,3.71,63.1,33.3,10.5,5.95,22.8,3.9
WIELKOPOLSKIE,2023,11.1,5.14,23.1,3.57,29.4,3.57,26.2,4.2,59.5,31.4,10.2,6.04,21.2,3.83
WIELKOPOLSKIE,2024,11.6,4.35,23.1,3.24,30.1,2.86,24.8,3.45,58.3,31.7,10.4,4.61,21.3,3.5
WIELKOPOLSKIE,2025,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ZACHODNIOPOMORSKIE,2010,21.7,2.26,22.9,1.8,17.7,2.59,27.1,1.74,60.6,29.9,10.6,2.5,19.3,1.93
ZACHODNIOPOMORSKIE,2011,21,3.56,22.7,2.73,18.3,4.21,26.8,2.86,60.7,30.6,11.2,3.96,19.4,2.97
ZACHODNIOPOMORSKIE,2012,19.3,3.24,22.7,2.62,19.7,3.43,26.9,2.35,61,30.8,11.4,3.51,19.4,2.86
ZACHODNIOPOMORSKIE,2013,19,3.39,22.9,2.57,20.8,3.37,26.1,2.48,60.3,31.4,11.3,3.86,20.1,2.9
ZACHODNIOPOMORSKIE,2014,19.5,3.46,22.5,2.74,21.3,3.58,25.1,2.94,59.1,30.9,11.5,3.86,19.4,3.14
ZACHODNIOPOMORSKIE,2015,18.8,3.82,22.6,2.96,21.6,3.72,25.7,2.89,59.6,31.1,11.3,4.68,19.8,3.17
ZACHODNIOPOMORSKIE,2016,18.2,3.39,22.3,2.94,22.7,3.18,25.5,2.72,59.1,30.6,11.3,3.96,19.3,3.19
ZACHODNIOPOMORSKIE,2017,17.1,3.36,22.9,2.86,23.5,3.11,24.7,2.98,59.4,31.3,11.8,4.03,19.5,3.08
ZACHODNIOPOMORSKIE,2018,16.1,4.28,22.9,3.07,25.2,3.3,23.9,3.14,58.8,31.9,12,4.37,19.9,3.39
ZACHODNIOPOMORSKIE,2019,16.4,4.81,22.7,3.28,25.9,3.41,22.6,3.59,57.8,32.5,12.5,5.23,20,3.52
ZACHODNIOPOMORSKIE,2020,15.1,4.8,24.2,3.6,25.9,4,22.1,3.7,58.8,34,12.5,5.9,21.5,4
ZACHODNIOPOMORSKIE,2021,14.8,5.06,23.7,3.56,26.2,3.53,22.2,3.69,59,34.2,13.1,5.29,21.1,3.79
ZACHODNIOPOMORSKIE,2022,14.7,4.99,22.5,4.1,28.7,3.57,21.8,4.03,56.7,31.9,12.4,5.35,19.5,4.41
ZACHODNIOPOMORSKIE,2023,13.8,5.23,21.6,4.17,31.9,3.41,19.5,4.47,54.3,31.5,13.2,5.87,18.3,4.67
ZACHODNIOPOMORSKIE,2024,13,5.23,20.3,3.94,34,2.81,18.7,4.28,52.7,31.4,13.7,5.17,17.7,4.44
ZACHODNIOPOMORSKIE,2025,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ŁÓDZKIE,2010,19.3,1.72,24.1,1.44,18.7,2.14,25.2,1.48,62,33.5,12.7,2.08,20.8,1.59
ŁÓDZKIE,2011,18.5,2.68,24.6,2.26,19.2,2.92,25.1,2.23,62.4,33.9,12.7,3.27,21.2,2.36
ŁÓDZKIE,2012,17.7,2.65,24.7,2.18,20.7,2.69,24.6,2.11,61.7,33.9,12.4,3.02,21.5,2.38
ŁÓDZKIE,2013,16.9,2.71,24.5,2.15,21,2.56,25,2,62,33.9,12.5,2.88,21.4,2.19
ŁÓDZKIE,2014,15.9,2.81,23.8,2.14,22.6,2.49,24.7,2.17,61.3,33.5,12.8,3.13,20.7,2.21
ŁÓDZKIE,2015,15.4,3.05,24.3,2.33,23.8,2.66,24,2.36,60.9,33.8,12.6,3.46,21.2,2.5
ŁÓDZKIE,2016,14.9,3,24.8,2.7,24.2,2.65,23.8,2.56,60.9,34.1,12.3,4.22,21.8,2.99
ŁÓDZKIE,2017,15.2,3.7,24.5,2.89,24.9,3.24,22.9,3.21,59.8,33.9,12.4,4.91,21.5,3.22
ŁÓDZKIE,2018,13.5,4.06,24.9,2.84,25.8,3.31,23.6,3.34,60.7,34.3,12.2,4.56,22.1,3.23
ŁÓDZKIE,2019,13.4,4.32,26,3.37,25.8,3.51,22.9,3.48,60.7,34.8,11.8,4.76,23,3.78
ŁÓDZKIE,2020,13.6,4.6,27.5,4,26.8,4.1,20.5,4.1,59.5,35.9,11.5,6,24.4,4.5
ŁÓDZKIE,2021,15.3,5.02,25.8,3.51,26.6,3.53,19.5,4.1,58,35.2,12.7,5.24,22.5,3.86
ŁÓDZKIE,2022,14.7,5.23,25.7,3.61,26.7,3.41,21.2,4.05,58.7,34.2,11.8,5.75,22.4,3.99
ŁÓDZKIE,2023,13,4.83,24.4,3.67,29.5,3.51,20,4.39,57.4,34.7,13,5.49,21.7,3.99
ŁÓDZKIE,2024,12.8,4.42,24.9,3.41,30.4,3.1,18.1,4.21,56.8,35.4,13.8,4.97,21.6,3.79
ŁÓDZKIE,2025,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ŚLĄSKIE,2010,14.2,1.99,26.7,1.24,19.1,1.81,29.6,1.35,66.8,34.2,10.5,2.13,23.7,1.4
ŚLĄSKIE,2011,14,2.88,26.8,1.98,20.1,2.65,29.2,2.01,65.9,34,9.9,3.09,24.1,2.05
ŚLĄSKIE,2012,13.2,2.51,26.5,1.69,20.7,2.51,29.8,1.81,66.2,33.5,9.9,2.86,23.6,1.84
ŚLĄSKIE,2013,12.7,2.75,27,1.57,21.7,2.26,29.1,1.75,65.7,34,9.6,3.13,24.4,1.79
ŚLĄSKIE,2014,12.3,2.7,27.3,1.83,22.2,2.38,28.5,1.95,65.5,34.3,9.7,3.26,24.6,1.95
ŚLĄSKIE,2015,12.5,3.1,27.7,1.91,22.8,2.4,27.4,2.03,64.7,34.4,9.6,3.45,24.8,2.1
ŚLĄSKIE,2016,11.9,2.91,28.5,1.92,24.1,2.45,25.8,2.26,63.9,34.9,9.6,3.61,25.3,2.05
ŚLĄSKIE,2017,11.4,3.16,28,2.11,25,2.4,26.2,2.29,63.6,34,9.4,3.98,24.6,2.26
ŚLĄSKIE,2018,11.2,3.09,27.3,2.04,26.2,2.44,25.6,2.69,62.6,34,9.7,4.12,24.3,2.22
ŚLĄSKIE,2019,10.6,3.07,26.2,2.53,27.4,2.43,25.6,2.71,61.9,33.7,10.1,4.32,23.6,2.78
ŚLĄSKIE,2020,10.4,3.3,26.4,2.7,27.3,2.9,25.9,2.6,62.3,33.7,10,4.5,23.7,2.7
ŚLĄSKIE,2021,10.3,3.76,27.1,2.31,28,2.45,23.9,2.51,61.9,34.8,10.9,4.1,23.9,2.4
ŚLĄSKIE,2022,10.3,3.36,27.3,2.29,28.8,2.43,23.2,2.36,61,34.3,10.5,3.81,23.8,2.49
ŚLĄSKIE,2023,10,4,25.1,2.73,32.2,2.56,21.6,3.01,57.8,33.1,11.1,4.41,22,2.87
ŚLĄSKIE,2024,10.9,3.67,22.8,2.81,33.4,2.16,20.5,2.97,55.7,32.6,12.4,4.03,20.2,3.01
ŚLĄSKIE,2025,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ŚWIĘTOKRZYSKIE,2010,19.3,2.01,24.3,1.54,18.3,2.46,28,1.6,62.5,31.3,10.2,2.59,21.1,1.64
ŚWIĘTOKRZYSKIE,2011,19.4,3.07,24.2,2.44,18.5,3.26,28.1,2.33,62,30.3,9.7,3.91,20.6,2.63
ŚWIĘTOKRZYSKIE,2012,18,3.19,24.6,2.33,20.7,3.35,27.3,2.23,61.2,30.2,9.3,3.88,20.9,2.61
ŚWIĘTOKRZYSKIE,2013,16.7,3.33,24.5,2.38,23.2,2.81,26.1,2.13,60,30.7,9.4,3.94,21.3,2.53
ŚWIĘTOKRZYSKIE,2014,16.9,2.94,24.6,2.34,22.7,2.89,26.6,2.22,60.4,30.4,9.2,4.07,21.2,2.58
ŚWIĘTOKRZYSKIE,2015,16.8,3.4,24.8,2.61,21.8,3.21,27.4,2.45,61.2,30.6,9,4.16,21.6,2.93
ŚWIĘTOKRZYSKIE,2016,16,2.93,24.3,2.4,23.8,2.78,26.7,2.37,60.2,30.3,9.2,4.21,21.1,2.56
ŚWIĘTOKRZYSKIE,2017,15.1,2.94,24.8,2.63,24.5,2.89,25.7,2.4,60.3,31.6,9.8,4.21,21.8,2.9
ŚWIĘTOKRZYSKIE,2018,14.2,3.13,25.3,2.71,25.3,2.96,25.2,2.45,60.4,32.1,9.9,4.45,22.2,2.97
ŚWIĘTOKRZYSKIE,2019,13.7,3.21,24.9,2.81,26.3,2.9,25,2.85,59.8,32.1,9.9,4.49,22.2,2.96
ŚWIĘTOKRZYSKIE,2020,12.9,3.9,25.7,2.6,27.7,3.1,24.6,2.9,59.2,32,8.9,5.2,23.1,3
ŚWIĘTOKRZYSKIE,2021,12.8,3.88,27,2.45,26.4,2.71,23.8,2.71,60.6,34.2,9.8,4.84,24.4,2.62
ŚWIĘTOKRZYSKIE,2022,13.6,3.82,26.6,2.73,26.9,2.76,23.3,2.61,59.3,33.1,9.4,5.32,23.7,2.98
ŚWIĘTOKRZYSKIE,2023,13.1,3.74,25.5,2.93,29.2,2.72,21.5,3.07,57.7,33.5,10.7,4.77,22.8,2.97
ŚWIĘTOKRZYSKIE,2024,13.2,4.15,25.3,3.22,30.8,2.96,20.4,3.77,56,33.3,10.3,4.85,23,3.41
ŚWIĘTOKRZYSKIE,2025,-,-,-,-,-,-,-,-,-,-,-,-,-,-
